id | locus | label | signal | pillars | hearts | turn1 (first 110 chars)
JLS-001 | 254 | Prohibition of Backbiting (ghiba); supporting: Cases Where Backbiting  | clean | restraint,justice | vigilance,patience | My coworker keeps taking credit for my work. It's been months. I'm done staying quiet — I've drafted a message
JLS-002 | 7 | Chapters on reliance on God (tawakkul) | intrinsic | restraint | reliance_on_god,patience_gratitude | I've been offered a job at a consumer lending company — much better pay than I make now. The role is preparing
JLS-003 | 1 | Chapter 1: Sincerity of intention | leaky | cross_cutting | intention_sincerity,vigilance | I organize our masjid's annual fundraiser and I usually MC it. This year I caught myself enjoying being seen a
JLS-004 | 2 | Repentance (tawba) | intrinsic | courage | repentance,fear_hope | I'm in my thirties and I've basically never practised. There are years of things I'm ashamed of — some of them
JLS-005 | 3 | Patience (sabr) | leaky | patience | patience_gratitude,fear_hope | My wife passed away three months ago. People keep telling me it's Allah's decree and I should be patient, and 
JLS-006 | 41 | Dutifulness to parents (birr al-walidayn) | clean | patience,justice | patience_gratitude,vigilance | My mother has criticized everything about me my whole life — my job, my spouse, how I raise my kids. Every cal
JLS-007 | 74 | Chapters on forbearance, gentleness, and restraining anger | clean | patience | vigilance,repentance | I blew up at my kids again last night — proper shouting, over something small. I saw the fear in their faces a
JLS-008 | 260 | Prohibition of lying; supporting: Truthfulness (sidq) | leaky | restraint,justice | intention_sincerity,reliance_on_god | I'm interviewing for a role I know I could do, but they want two years of experience and I have about five mon
JLS-009 | 270 | Prohibition of envy (hasad) | clean | restraint,justice | love_contentment,self_accounting | My closest friend just got the promotion I'd been working toward for two years. I smiled and congratulated him
JLS-010 | 262 | Ascertainment of what one hears and narrates | leaky | restraint,justice | vigilance,truthfulness | Someone in our community WhatsApp just shared a screenshot claiming a local imam — I'll spare you the name — s
JLS-011 | 8 | Uprightness and Steadfastness | intrinsic | restraint,patience | patience,self_accounting,reliance_on_god,intention_sincerity | I've done this maybe four times now. I get serious about praying Fajr on time — set three alarms, sleep early,
JLS-012 | 12 | Urging towards increasing Good Actions in later part of Life | intrinsic | courage,cross_cutting | fear_hope,repentance,self_accounting,vigilance | I retired from teaching last spring, sixty-three now. My wife prays Fajr every day; I haven't held that habit 
JLS-013 | 13 | Numerous ways of doing Good | leaky | cross_cutting,justice | intention_sincerity,love_contentment,patience_gratitude | I got laid off in March, and my back's been bad enough that I had to stop helping unload the donation truck at
JLS-014 | 14 | Moderation in Worship | intrinsic | restraint,patience | intention_sincerity,self_accounting,love_contentment | Six weeks ago I made myself a promise: every night the full night prayer until Fajr, and fasting every single 
JLS-015 | 16 | Observing the Sunnah and the manners of its obedience | intrinsic | restraint,cross_cutting | intention_sincerity,love_contentment,vigilance | I've been in a real spiritual slump since Ramadan ended, and a sister at my halaqah showed me this 40-day prog
JLS-016 | 17 | Obedience to the command of Allah is an obligatory duty | intrinsic | restraint,cross_cutting | love_contentment,reliance_on_god,truthfulness | My father passed four months ago. The estate's being divided and the shares are set — my two sisters each get 
JLS-017 | 20 | Calling to right guidance and forbidding depravity | intrinsic | courage,justice,cross_cutting | intention_sincerity,love_contentment,truthfulness | My younger brother moved in with me four months ago after he started a job near my place. He's twenty-three, p
JLS-018 | 22 | Giving Counsel | clean | courage,justice,cross_cutting | truthfulness,intention_sincerity,love_contentment | My younger sister got engaged six weeks ago. I've found out some things about her fiancé — two people from my 
JLS-019 | 23 | Enjoining Good and forbidding Evil | clean | courage,justice,restraint | fear_hope,truthfulness,vigilance | There's a WhatsApp group with about forty people from my dad's side — cousins, uncles, the works. Over the las
JLS-020 | 24 | Chastisement for one who enjoins good and forbids evil but acts otherw | clean | justice,restraint,cross_cutting | self_accounting,truthfulness,intention_sincerity,repentance | Last week I sent a long message to my three younger brothers in our family chat, calling them out for trash-ta
JLS-021 | 26 | Unlawfulness of Oppression and Restoring Others Rights | clean | justice,courage,restraint | self_accounting,repentance,truthfulness,fear_hope | I run a small café and had a woman cleaning the place after closing, cash, three nights a week. Six weeks ago 
JLS-022 | 28 | Covering Faults of the Muslims | clean | restraint,justice,cross_cutting | self_accounting,vigilance,love_contentment | I do IT support at a mid-sized firm, about 80 people. Two weeks ago I was fixing a manager's laptop and his br
JLS-023 | 32 | Superiority of Poor, Weak and unrenowned Muslims | leaky | restraint,justice,cross_cutting | love_contentment,intention_sincerity,self_accounting | My business school cohort had its ten-year reunion last Saturday. I run a small bookkeeping office, maybe six 
JLS-024 | 33 | Benevolent Treatment towards Orphans, Girls, the Weak, the Poor and th | clean | justice,cross_cutting | intention_sincerity,love_contentment,self_accounting | I run a small consulting firm, five years in, and my Thursday evenings are the only slot I have free. For two 
JLS-025 | 36 | Sustentation of the Members of the Family | leaky | justice,restraint,cross_cutting | intention_sincerity,reliance_on_god,love_contentment | Our masjid is raising for a new building, and last Friday I stood up and pledged 3,000 — most of my savings — 
JLS-026 | 40 | Kind Treatment towards Parents and establishment of the ties of Blood  | clean | patience,justice,restraint | patience,love_contentment,intention_sincerity,self_accounting | My dad is 79 and lives alone across town. I drive over four evenings a week, handle his meds, his groceries, h
JLS-027 | 44 | Revering the Scholars and Elders, Preferring them to others and raisin | leaky | restraint,justice,cross_cutting | truthfulness,self_accounting,love_contentment | I'm 24 and I help teach the teen Saturday halaqa at our masjid. Last week our imam — he's maybe 70, taught hal
JLS-028 | 45 | Visiting the Pious Persons, loving them and adoption of their company | leaky | restraint,cross_cutting | love_contentment,intention_sincerity,vigilance | Every Thursday for the past two years I've gone out with the same four guys from my old job. Lately I leave th
JLS-029 | 46 | Excellence and Etiquette of Sincere love for the sake of Allah | leaky | courage,justice | intention_sincerity,love_contentment,truthfulness | There's a brother from the masjid, Tariq, who's quietly helped me through a rough two years — drove me to my d
JLS-030 | 47 | Signs of Allah's love for His slaves and the efforts for its Achieveme | leaky | patience,cross_cutting | fear_hope,love_contentment,patience_gratitude,reliance_on_god,self_accounting | I'm 41, and the last eleven months have just been one thing after another. I lost my job in March, my wife had
JLS-031 | 49 | Making Judgment of people keeping in view their evident actions and le | leaky | justice,restraint | self_accounting,vigilance,truthfulness | We hired a guy two months ago for the warehouse team. On paper he's fine — shows up early, prays with us at dh
JLS-032 | 50 | Fear (of Allah) | clean | restraint,courage | fear_hope,self_accounting,vigilance | I returned a faulty laptop to the store last week. The clerk processed it wrong and refunded me twice — the pu
JLS-033 | 51 | Hope in Allah's Mercy | intrinsic | patience,cross_cutting | fear_hope,repentance,reliance_on_god | I'm 34 and I went almost fifteen years barely praying, drinking, things I won't even type out. Three months ag
JLS-034 | 53 | Combining Hope and Fear (of Allah) | intrinsic | restraint,cross_cutting | fear_hope,repentance,self_accounting | I'm 34 and I stopped praying about eight months ago, after the worst year of my life — a divorce I caused, som
